word,mul_info,left_entropy,right_entropy,head_prob,tail_prob
生活垃圾,0.164718,1.000000,0.687942,0.061156,1.000000
循环经济,0.092851,0.730436,0.433083,0.594203,0.305709
监督检查,0.254828,0.741977,0.627263,0.215976,0.204787
煤矿企业,0.068618,0.674452,0.702957,0.136986,0.770950
环境影响,0.363061,0.904362,0.310504,0.347826,0.069444
污染防治,0.379147,0.634952,0.785269,0.379630,0.026578
赔偿责任,0.075580,0.222067,0.424275,0.333333,0.623932
符合国家,0.112143,0.644265,0.587758,0.271605,0.097527
组织编制,0.065138,0.664146,0.603433,0.605114,0.067961
建筑垃圾,0.034534,0.644058,0.640966,0.063230,1.000000
部门组织,0.044248,0.295838,0.670302,0.126761,0.605114
污染控制,0.016412,0.643184,0.262892,0.379630,0.507246
或者个人,0.115943,0.260230,0.800354,0.064516,0.328042
和国务院,0.044521,0.497719,0.726776,0.248349,0.127424
采取措施,0.176147,0.563847,0.514914,0.016393,0.571429
企业标准,0.013962,0.334771,0.406191,0.770950,0.307116
技术条件,0.029304,0.280238,0.421345,0.497288,0.259091
处理设施,0.068168,0.445664,0.647895,0.405738,0.055690
组织实施,0.075452,0.694523,0.529851,0.605114,0.026217
节能技术,0.034646,0.738756,0.571596,0.050193,0.497288
组织进行,0.015097,0.533929,0.574279,0.605114,0.113703
资源保护,0.054519,0.486936,0.721248,0.196522,0.084531
部门负责,0.087382,0.303817,0.690826,0.126761,0.136364
违法所得,0.166629,0.450594,0.448897,0.173333,0.053846
严重污染,0.040424,0.677279,0.406987,0.072674,0.379630
污染事故,0.089859,0.586770,0.450900,0.379630,0.034048
规划条件,0.014618,0.513324,0.515408,0.304167,0.259091
其他组织,0.094347,0.280840,0.722891,0.025641,0.605114
经济综合,0.037802,0.219390,0.169767,0.305709,0.658537
清洁生产,0.258752,0.918793,0.678488,0.021635,0.079301
污染损害,0.050177,0.579913,0.451346,0.379630,0.054795
或者其他,0.241792,0.837924,0.761882,0.064516,0.025641
进行监督,0.053905,0.689265,0.270397,0.113703,0.215976
履行监督,0.030561,0.426756,0.294810,0.292683,0.215976
建设规划,0.032669,0.424522,0.487757,0.117526,0.304167
调查处理,0.024225,0.497384,0.285371,0.169492,0.405738
组织开展,0.052796,0.719602,0.850500,0.605114,0.012026
建设活动,0.032136,0.380458,0.532690,0.117526,0.301333
或者使用,0.076665,0.592389,0.617569,0.064516,0.127119
综合规划,0.021264,0.132764,0.405996,0.658537,0.304167
详细规划,0.043639,0.134909,0.509844,0.243243,0.304167
监测数据,0.037718,0.627001,0.492326,0.085799,0.216710
负责组织,0.024975,0.181539,0.563679,0.136364,0.605114
政府组织,0.031449,0.049622,0.585101,0.376324,0.605114
研究开发,0.015821,0.332213,0.295461,0.809984,0.157262
规划编制,0.027935,0.564625,0.593999,0.304167,0.067961
依法履行,0.035753,0.465733,0.499799,0.077206,0.292683
环境信息,0.014704,0.321143,0.514645,0.347826,0.221889
控制指标,0.050770,0.256129,0.464678,0.507246,0.060790
最高人民,0.028405,0.600097,0.176613,0.243119,0.242506
环境状况,0.013317,0.525532,0.312772,0.347826,0.233010
生产企业,0.013310,0.506449,0.418311,0.079301,0.770950
或者组织,0.017948,0.467210,0.511522,0.064516,0.605114
组织或者,0.037727,0.399305,0.274176,0.605114,0.064516
现场检查,0.041118,0.448820,0.543711,0.077491,0.204787
气象灾害,0.029514,0.718138,0.438751,0.102524,0.166667
部门或者,0.146203,0.275566,0.481344,0.126761,0.064516
工程建设,0.051818,0.599851,0.351960,0.119754,0.117526
建设工程,0.031882,0.662260,0.512725,0.117526,0.119754
排放标准,0.107185,0.291290,0.529505,0.029197,0.307116
目标责任,0.015777,0.521437,0.213263,0.132743,0.623932
组织环境,0.006911,0.447131,0.221054,0.605114,0.347826
信息服务,0.008060,0.513324,0.316575,0.221889,0.492063
国家环境,0.028063,0.570203,0.251626,0.097527,0.347826
能源消费,0.021772,0.659930,0.586925,0.099609,0.160535
监测设备,0.035107,0.379099,0.475621,0.085799,0.244552
使用土地,0.037426,0.724902,0.382954,0.127119,0.100358
规划管理,0.007527,0.422597,0.344432,0.304167,0.387978
依法给予,0.182699,0.400450,0.399056,0.077206,0.057143
进行综合,0.015429,0.521437,0.213263,0.113703,0.658537
气象探测,0.057130,0.803689,0.490249,0.102524,0.055172
卫生行政,0.108796,0.508962,0.074955,0.271104,0.108902
服务活动,0.008995,0.273800,0.325386,0.492063,0.301333
标准或者,0.026772,0.569875,0.392156,0.307116,0.064516
资源综合,0.016313,0.486687,0.114802,0.196522,0.658537
使用管理,0.015397,0.337675,0.459751,0.127119,0.387978
综合开发,0.007485,0.380937,0.397666,0.658537,0.157262
规划确定,0.035387,0.526996,0.197174,0.304167,0.102041
船舶污染,0.019974,0.585856,0.309679,0.080000,0.379630
企业应当,0.058162,0.766948,0.627940,0.770950,0.005085
处理决定,0.020319,0.353601,0.429175,0.405738,0.086093
按照规定,0.159378,0.589096,0.889360,0.015385,0.083333
污染土壤,0.016864,0.612633,0.490517,0.379630,0.055556
负责全国,0.016390,0.467367,0.572031,0.136364,0.175279
禁止使用,0.028830,0.622921,0.557075,0.082090,0.127119
规定进行,0.037570,0.434517,0.660466,0.083333,0.113703
技术要求,0.029306,0.309147,0.314635,0.497288,0.070946
部门批准,0.082188,0.341124,0.474966,0.126761,0.058824
城镇污水,0.032543,0.712579,0.278624,0.108479,0.138889
档案工作,0.012180,0.436314,0.245871,0.581818,0.125909
防治污染,0.029537,0.636989,0.501525,0.026578,0.379630
执行国家,0.014476,0.521437,0.432847,0.282486,0.097527
污染责任,0.036844,0.117089,0.086759,0.379630,0.623932
组织研究,0.003524,0.182356,0.279924,0.605114,0.809984
建设用地,0.106961,0.868748,0.645368,0.117526,0.012480
经营企业,0.017190,0.153548,0.561775,0.076427,0.770950
依法进行,0.033382,0.620617,0.474941,0.077206,0.113703
